Pred_Known,Count,Weight,Score,True_Num,,
"[0, 0]",45,0,0.84398,73,,
"[1, 0]",17,12.64811765,0.632405882,0,,"[20.0, 30.0, 35.0, 30.0, 20.0, 7.5, 7.5, 12.5, 27.5]"
"[2, 0]",10,25.082,0.50164,0,,
"[3, 0]",1,53.4225,0.6285,0,,
"[4, 0]",0,0,0,0,,
"[5, 0]",0,0,0,0,,
"[6, 0]",0,0,0,0,,
"[7, 0]",0,0,0,0,,
"[8, 0]",0,0,0,0,,"300 , 340, 360"
"[9, 0]",0,0,0,0,,350 - 320
"[0, 1]",31,13.81677419,0.69083871,0,,30nm 
"[1, 1]",48,0,0.757372917,103,,
"[2, 1]",20,22.0491,0.73497,0,,
"[3, 1]",1,24.375,0.375,0,,
"[4, 1]",0,0,0,0,,
"[5, 1]",0,0,0,0,,
"[6, 1]",3,48.804,0.3984,0,,
"[7, 1]",0,0,0,0,,
"[8, 1]",0,0,0,0,,
"[9, 1]",0,0,0,0,,
"[0, 2]",12,30.62083333,0.612416667,0,,
"[1, 2]",23,20.31065217,0.677021739,0,,
"[2, 2]",66,0,0.775675758,112,,
"[3, 2]",11,22.69940909,0.648554545,0,,
"[4, 2]",0,0,0,0,,
"[5, 2]",0,0,0,0,,
"[6, 2]",0,0,0,0,,
"[7, 2]",0,0,0,0,,
"[8, 2]",0,0,0,0,,
"[9, 2]",0,0,0,0,,
"[0, 3]",5,68.4199,0.80494,0,,
"[1, 3]",6,51.79741667,0.796883333,0,,
"[2, 3]",5,23.8203,0.68058,0,,
"[3, 3]",48,0,0.9489125,75,,
"[4, 3]",4,29.8065,0.99355,0,,
"[5, 3]",0,0,0,0,,
"[6, 3]",0,0,0,0,,
"[7, 3]",0,0,0,0,,
"[8, 3]",0,0,0,0,,
"[9, 3]",7,75.585,0.719857143,0,,
"[0, 4]",0,0,0,0,,
"[1, 4]",0,0,0,0,,
"[2, 4]",0,0,0,0,,
"[3, 4]",5,26.6154,0.88718,0,,
"[4, 4]",66,0,0.951639394,94,,
"[5, 4]",16,16.964375,0.84821875,0,,
"[6, 4]",5,15.62825,0.5683,0,,
"[7, 4]",0,0,0,0,,
"[8, 4]",0,0,0,0,,
"[9, 4]",2,47.87625,0.63835,0,,
"[0, 5]",0,0,0,0,,
"[1, 5]",0,0,0,0,,
"[2, 5]",0,0,0,0,,
"[3, 5]",0,0,0,0,,
"[4, 5]",12,15.6295,0.781475,0,,
"[5, 5]",68,0,0.849966176,112,,
"[6, 5]",21,5.971321429,0.79617619,0,,
"[7, 5]",8,10.670625,0.711375,0,,
"[8, 5]",3,18.38191667,0.668433333,0,,
"[9, 5]",0,0,0,0,,
"[0, 6]",0,0,0,0,,
"[1, 6]",0,0,0,0,,
"[2, 6]",0,0,0,0,,
"[3, 6]",0,0,0,0,,
"[4, 6]",0,0,0,0,,
"[5, 6]",13,5.476788462,0.730238462,0,,
"[6, 6]",21,0,0.797838095,76,,
"[7, 6]",39,5.936807692,0.791574359,0,,
"[8, 6]",3,12.74933333,0.637466667,0,,
"[9, 6]",0,0,0,0,,
"[0, 7]",0,0,0,0,,
"[1, 7]",0,0,0,0,,
"[2, 7]",0,0,0,0,,
"[3, 7]",0,0,0,0,,
"[4, 7]",0,0,0,0,,
"[5, 7]",5,13.7157,0.91438,0,,
"[6, 7]",24,5.28740625,0.7049875,0,,
"[7, 7]",155,0,0.817045806,199,,
"[8, 7]",14,9.763482143,0.781078571,0,,
"[9, 7]",1,19.424,0.4856,0,,
"[0, 8]",0,0,0,0,,
"[1, 8]",0,0,0,0,,
"[2, 8]",0,0,0,0,,
"[3, 8]",0,0,0,0,,
"[4, 8]",0,0,0,0,,
"[5, 8]",0,0,0,0,,
"[6, 8]",2,12.777,0.63885,0,,
"[7, 8]",25,8.8292,0.706336,0,,
"[8, 8]",68,0,0.924173529,108,,
"[9, 8]",13,22.47680769,0.817338462,0,,
"[0, 9]",0,0,0,0,,
"[1, 9]",0,0,0,0,,
"[2, 9]",0,0,0,0,,
"[3, 9]",0,0,0,0,,
"[4, 9]",0,0,0,0,,
"[5, 9]",0,0,0,0,,
"[6, 9]",0,0,0,0,,
"[7, 9]",5,29.6248,0.74062,0,,
"[8, 9]",6,23.390125,0.85055,0,,
"[9, 9]",77,0,0.910905195,88,,
