,Model,R2,MAE,MSE,RMSE,MAPE
lgbm_with_default_parameters,LGBMRegressor,0.7189,14.154,1550.3973,36.9025,1.1218230587609164e+16
xgb_with_default_parameters,XGBRegressor,0.7123,12.8027,1423.3658,35.7131,8459767401084921.0
BayesianRidge_with_default_parameters,Bayesian Ridge,0.711,16.5542,1630.5768,37.3608,1.1982855393477856e+16
Lasso_alpha=0.5,Lasso,0.6994,18.567,1676.6612,38.1403,1.1893633212757722e+16
LassoLars_alpha=0.5,Lasso Lars,0.6994,18.567,1676.6899,38.1406,1.18937362790883e+16
HubR_with_default_parameters,Huber Regressor,0.6884,14.341,1771.0386,38.1476,1.2726887319399924e+16
rf_max_depth=6_n_estimators=1000,Random Forest Regressor,0.687,16.3783,1645.6222,38.0588,1.0611372420039852e+16
rf_max_depth=6_n_estimators=500,Random Forest Regressor,0.6858,16.3964,1651.7377,38.1364,1.0646840186960826e+16
rf_with_default_parameters,Random Forest Regressor,0.6799,13.016,1592.8072,37.493,9625785560182308.0
rf_max_depth=4_n_estimators=500,Random Forest Regressor,0.6791,19.3362,1758.1796,39.289,1.1356619526597404e+16
rf_max_depth=8_n_estimators=1000,Random Forest Regressor,0.6785,14.5356,1633.1119,37.8343,1.000983019402308e+16
rf_max_depth=4_n_estimators=1000,Random Forest Regressor,0.6783,19.3562,1760.4125,39.3251,1.1346964633576442e+16
LassoLars_alpha=1,Lasso Lars,0.6776,20.4844,1798.4403,39.5545,1.216551327584609e+16
LassoLars_with_default_parameters,Lasso Lars,0.6776,20.4844,1798.4403,39.5545,1.216551327584609e+16
Lasso_alpha=1,Lasso,0.6776,20.4847,1798.443,39.5546,1.2165554456010806e+16
Lasso_with_default_parameters,Lasso,0.6776,20.4847,1798.443,39.5546,1.2165554456010806e+16
rf_max_depth=8_n_estimators=500,Random Forest Regressor,0.6742,14.5813,1652.3105,38.0019,1.0054201754073706e+16
gbc_with_default_parameters,Gradient Boosting Regressor,0.668,14.7102,1693.2618,38.4335,1.0354015929974302e+16
et_max_depth=4_n_estimators=500,Extra Trees Regressor,0.6601,20.4588,1849.2944,40.3693,1.1178938244293552e+16
et_max_depth=4_n_estimators=1000,Extra Trees Regressor,0.66,20.4605,1849.4649,40.3724,1.1178938244293582e+16
dt_max_depth=4,Decision Tree Regressor,0.6591,20.5503,1852.8916,40.4706,1.1178938244293596e+16
Adaboost_learning_rate=0.01_n_estimators=100,Ada Boost Regressor,0.625,24.3919,1996.8208,42.8727,1.1149608062467242e+16
Adaboost_learning_rate=0.01_n_estimators=50,Ada Boost Regressor,0.6218,24.4956,2011.2335,42.9347,1.1130265251787548e+16
Lasso_alpha=3,Lasso,0.5978,25.7623,2186.4713,44.4992,1.2542115886079724e+16
LassoLars_alpha=3,Lasso Lars,0.5978,25.7619,2186.4868,44.4993,1.2542224598610128e+16
Adaboost_learning_rate=0.05_n_estimators=50,Ada Boost Regressor,0.5744,26.7929,2139.842,45.1184,1.0191015386891264e+16
et_with_default_parameters,Extra Trees Regressor,0.5297,13.7864,2201.5194,42.3751,7271414289926755.0
dt_with_default_parameters,Decision Tree Regressor,0.5175,13.7939,2261.5508,41.9153,5737477404797063.0
Adaboost_learning_rate=0.05_n_estimators=100,Ada Boost Regressor,0.5097,28.5037,2369.1879,47.861,9470257202648300.0
Adaboost_with_default_parameters,Ada Boost Regressor,0.4995,28.0607,2390.3391,47.4099,7822279117724154.0
et_max_depth=6_n_estimators=1000,Extra Trees Regressor,0.4965,19.5975,2340.317,44.6103,9056023863986288.0
et_max_depth=6_n_estimators=500,Extra Trees Regressor,0.4964,19.6,2340.8173,44.6163,9056023863986232.0
et_max_depth=8_n_estimators=500,Extra Trees Regressor,0.4962,17.3999,2334.9519,44.3015,7084805021486398.0
et_max_depth=8_n_estimators=1000,Extra Trees Regressor,0.4941,17.4091,2348.0875,44.4278,7143373520736942.0
dt_max_depth=8,Decision Tree Regressor,0.4849,17.3354,2421.1541,45.5819,8523916717353537.0
dt_max_depth=6,Decision Tree Regressor,0.472,19.9142,2467.618,45.7589,9056023863986224.0
lr_with_default_parameters,Linear Regression,-8.276443986438981e+23,12371821836816.766,2.6281063570705146e+27,34856357767481.977,1.1157286475625844e+16
