,Model,R2,MAE,MSE,RMSE,MAPE
BayesianRidge_with_default_parameters,Bayesian Ridge,0.2996,14.7528,2034.9024,35.1033,1.6505863970627034e+16
HubR_with_default_parameters,Huber Regressor,0.2604,13.6466,2176.0822,35.5692,1.7032698242807244e+16
Lasso_alpha=1,Lasso,0.2251,15.5107,2036.1462,35.9167,1.6303583724843764e+16
LassoLars_with_default_parameters,Lasso Lars,0.2251,15.5107,2036.1495,35.9168,1.6303575573860116e+16
LassoLars_alpha=1,Lasso Lars,0.2251,15.5107,2036.1495,35.9168,1.6303575573860116e+16
Lasso_with_default_parameters,Lasso,0.2251,15.5107,2036.1462,35.9167,1.6303583724843764e+16
LassoLars_alpha=3,Lasso Lars,0.1206,17.631,2205.0059,38.0797,1.6557412116209906e+16
Lasso_alpha=3,Lasso,0.1206,17.631,2205.0049,38.0797,1.655741086126775e+16
LassoLars_alpha=0.5,Lasso Lars,0.1056,14.9757,2045.1644,36.7573,1.6197837594740648e+16
Lasso_alpha=0.5,Lasso,0.1056,14.9755,2045.1468,36.757,1.6197831939362122e+16
lgbm_with_default_parameters,LGBMRegressor,-0.1044,13.4162,2190.7925,39.2091,1.638272699134799e+16
rf_max_depth=4_n_estimators=1000,Random Forest Regressor,-0.8532,13.9012,2277.1848,39.7782,1.517418282286466e+16
rf_max_depth=4_n_estimators=500,Random Forest Regressor,-0.8933,13.8823,2293.8921,39.8328,1.5145883411974652e+16
rf_max_depth=8_n_estimators=1000,Random Forest Regressor,-1.0274,11.4321,2246.7654,38.6533,1.4560103809624428e+16
rf_max_depth=6_n_estimators=1000,Random Forest Regressor,-1.053,12.001,2269.3996,38.9688,1.4584929769552358e+16
rf_max_depth=8_n_estimators=500,Random Forest Regressor,-1.1092,11.5031,2285.5376,38.9666,1.4563309580050004e+16
rf_max_depth=6_n_estimators=500,Random Forest Regressor,-1.1223,12.0569,2301.7598,39.1961,1.4579893500883796e+16
rf_with_default_parameters,Random Forest Regressor,-1.277,11.5451,2400.4387,40.5674,1.4875069670659788e+16
gbc_with_default_parameters,Gradient Boosting Regressor,-2.3493,11.7672,2825.6671,44.2201,1.4962496939576126e+16
Adaboost_learning_rate=0.01_n_estimators=50,Ada Boost Regressor,-2.4703,16.6849,3316.2046,44.6572,1.613929657975286e+16
Adaboost_learning_rate=0.01_n_estimators=100,Ada Boost Regressor,-2.6275,17.4846,3376.5657,46.125,1.6059235138303732e+16
Adaboost_with_default_parameters,Ada Boost Regressor,-2.932,18.3964,3600.8657,48.4922,1.6600512829058178e+16
Adaboost_learning_rate=0.05_n_estimators=100,Ada Boost Regressor,-3.0077,17.957,3564.8586,48.6511,1.6399650769239418e+16
Adaboost_learning_rate=0.05_n_estimators=50,Ada Boost Regressor,-3.0199,18.1707,3451.8296,47.8618,1.5753333604319514e+16
xgb_with_default_parameters,XGBRegressor,-3.0244,11.8642,3296.9133,45.3026,1.5364141866643624e+16
et_max_depth=8_n_estimators=500,Extra Trees Regressor,-4.3345,11.7395,3348.8022,46.9437,1.4130043830874932e+16
et_max_depth=8_n_estimators=1000,Extra Trees Regressor,-4.335,11.7409,3349.0714,46.9537,1.4130043830874932e+16
et_max_depth=6_n_estimators=1000,Extra Trees Regressor,-4.335,12.001,3358.8776,47.2104,1.414934497213498e+16
et_max_depth=6_n_estimators=500,Extra Trees Regressor,-4.3352,12.0026,3359.0617,47.2174,1.414934497213512e+16
dt_max_depth=8,Decision Tree Regressor,-4.352,11.8925,3356.8963,47.2974,1.4130043830874932e+16
et_with_default_parameters,Extra Trees Regressor,-4.3671,11.7042,3361.1141,47.604,1.4130043830874932e+16
dt_max_depth=6,Decision Tree Regressor,-4.3798,12.1853,3378.0031,47.704,1.4149344972135092e+16
dt_with_default_parameters,Decision Tree Regressor,-4.4069,11.8851,3378.1535,47.8941,1.4130043830874932e+16
et_max_depth=4_n_estimators=500,Extra Trees Regressor,-4.7433,13.6879,3436.9337,47.9502,1.3898824931824342e+16
et_max_depth=4_n_estimators=1000,Extra Trees Regressor,-4.7436,13.6846,3436.8924,47.9417,1.3898824931824234e+16
dt_max_depth=4,Decision Tree Regressor,-4.9032,13.7346,3479.263,48.1552,1.389882493182425e+16
lr_with_default_parameters,Linear Regression,-1.40394399627839e+25,22218809049828.332,9.302703187700806e+27,60768970806432.664,1.5641998221168464e+16
