	Lambda_Max
Bovine	500.00000
S1	502.00000
S2	502.00000
S3	481.00000
S4	494.00000
S5	494.00000
S6	491.00000
S7	486.00000
S8	490.00000
S9	490.00000
S10	499.00000
S11	493.00000
S12	498.00000
S13	495.00000
S14	499.00000
S15	492.00000
S16	501.00000
S17	488.00000
S18	487.00000
S19	498.00000
S20	502.00000
S21	500.00000
S22	497.00000
S23	488.00000
S24	501.00000
S25	504.00000
S26	496.00000
S27	500.00000
S29	505.00000
S32	498.00000
S33	502.00000
S34	484.00000
S35	488.00000
S36	501.00000
S37	488.00000
S38	491.00000
S39	503.00000
S40	497.90000
S41	503.80000
S42	498.00000
S43	499.40000
S44	499.50000
S45	489.50000
S46	492.50000
S47	481.00000
S48	496.00000
S49	497.00000
S50	495.50000
S51	499.00000
S52	493.00000
S53	493.50000
S54	496.50000
S55	491.00000
S56	497.50000
S57	496.00000
S58	500.00000
S59	500.00000
S60	493.00000
S61	500.00000
S62	500.00000
S63	491.00000
S64	497.00000
S65	494.00000
S66	493.00000
S67	492.00000
S68	489.00000
S69	498.00000
S70	500.00000
S71	491.00000
S72	500.00000
S73	503.00000
S74	502.00000
S75	494.00000
S76	501.00000
S77	501.00000
S78	501.00000
S79	501.00000
S80	482.00000
S81	502.00000
S82	501.00000
S83	502.00000
S84	496.00000
S85	485.00000
S87	486.00000
S88	485.00000
S89	496.00000
S90	483.00000
S92	489.00000
S93	492.00000
S94	507.00000
S95	486.00000
S96	491.00000
S97	479.00000
S98	504.00000
S99	489.00000
S100	502.00000
S101	491.00000
S102	498.00000
S103	479.00000
S104	488.00000
S105	486.00000
S106	482.00000
S107	482.00000
S109	526.00000
S110	501.00000
S111	507.00000
S112	484.00000
S113	504.00000
S114	490.00000
S115	489.00000
S116	478.00000
S117	511.00000
S118	503.00000
S119	488.00000
S120	488.00000
S121	501.00000
S122	488.00000
S123	494.00000
S124	491.00000
S125	492.00000
S126	490.00000
S127	501.00000
S128	504.00000
S129	495.00000
S130	499.00000
S131	498.00000
S132	494.00000
S133	501.00000
