,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6327,0.9128,0.6034,0.6397,0.621,0.5851,0.5879,0.288
lr,Logistic Regression,0.6347,0.9196,0.5989,0.6423,0.6149,0.5857,0.5909,0.049
xgboost,Extreme Gradient Boosting,0.6227,0.9202,0.5877,0.6334,0.6103,0.5735,0.5771,0.3
lightgbm,Light Gradient Boosting Machine,0.6246,0.923,0.5887,0.6418,0.6103,0.575,0.5793,0.061
et,Extra Trees Classifier,0.6247,0.8746,0.5965,0.6322,0.6086,0.576,0.5802,0.05
rf,Random Forest Classifier,0.6127,0.9114,0.579,0.6074,0.5878,0.5611,0.566,0.059
dt,Decision Tree Classifier,0.5988,0.8065,0.5734,0.6066,0.5871,0.5472,0.5505,0.005
ridge,Ridge Classifier,0.6028,0.0,0.569,0.6125,0.5829,0.5491,0.5543,0.004
svm,SVM - Linear Kernel,0.5647,0.0,0.552,0.5994,0.5396,0.5096,0.5168,0.013
ada,Ada Boost Classifier,0.2754,0.5946,0.2018,0.1437,0.1625,0.1407,0.1791,0.025
