ID	Genus	Species	CellType	LambdaMax	Method	Stage	refid	Notes
1	Acipenser	transmontanus	rod	540	microspectrophotometry	adult	30	
2	Acipenser	transmontanus	cone	464	microspectrophotometry	adult	30	
3	Acipenser	transmontanus	cone	531	microspectrophotometry	adult	30	
4	Acipenser	transmontanus	cone	605	microspectrophotometry	adult	30	
5	Acipenser	medirostris	rod	540	microspectrophotometry	adult	43	
6	Acipenser	medirostris	single cone	465	microspectrophotometry	adult	43	
7	Acipenser	medirostris	single cone	538	microspectrophotometry	adult	43	
8	Acipenser	medirostris	single cone	614	microspectrophotometry	adult	43	
9	Cymatogaster	aggregata	rod	500	microspectrophotometry	adult	5	
10	Cymatogaster	aggregata	single cone	455	microspectrophotometry	adult	5	
11	Cymatogaster	aggregata	single cone	528	microspectrophotometry	adult	5	
12	Cymatogaster	aggregata	twin cone	532	microspectrophotometry	adult	5	
13	Amia	calva	rod	527	microspectrophotometry	adult	6	
14	Amia	calva	single cone	457	microspectrophotometry	adult	6	
15	Amia	calva	single cone	556	microspectrophotometry	adult	6	
16	Amia	calva	single cone	624	microspectrophotometry	adult	6	
17	Amia	calva	double cone	556	microspectrophotometry	adult	6	
18	Amia	calva	twin cone	624	microspectrophotometry	adult	6	
19	Gymnothorax	favagineus	rod	488	microspectrophotometry	adult	47	
20	Gymnothorax	favagineus	single cone	402	microspectrophotometry	adult	47	
21	Gymnothorax	reticularis	rod	486	microspectrophotometry	adult	47	
22	Gymnothorax	reticularis	single cone	495	microspectrophotometry	adult	47	
23	Rhinomuraena	quaesita	rod	498	microspectrophotometry	adult	47	
24	Rhinomuraena	quaesita	single cone	494	microspectrophotometry	adult	47	
25	Strophidon	sathete	rod	487	microspectrophotometry	adult	47	
26	Strophidon	sathete	single cone	510	microspectrophotometry	adult	47	
27	Atherina	boyeri	rod	511	microspectrophotometry	adult	18	
28	Atherina	boyeri	single cone	570	microspectrophotometry	adult	18	
29	Atherina	boyeri	double cone	435	microspectrophotometry	adult	18	
30	Atherina	boyeri	twin cone	530	microspectrophotometry	adult	18	
31	Melanotaenia	maccullochi	rod	509	microspectrophotometry	adult	40	
32	Melanotaenia	maccullochi	single cone	377	microspectrophotometry	adult	40	
33	Melanotaenia	maccullochi	single cone	409	microspectrophotometry	adult	40	
34	Melanotaenia	maccullochi	single cone	443	microspectrophotometry	adult	40	
35	Melanotaenia	maccullochi	single cone	495	microspectrophotometry	adult	40	
36	Melanotaenia	maccullochi	single cone	528	microspectrophotometry	adult	40	
37	Melanotaenia	maccullochi	double cone	495	microspectrophotometry	adult	40	
38	Melanotaenia	maccullochi	double cone	528	microspectrophotometry	adult	40	
39	Melanotaenia	maccullochi	double cone	578	microspectrophotometry	adult	40	
40	Marosatherina	ladigesi	rod	507	microspectrophotometry	adult	40	
41	Marosatherina	ladigesi	single cone	368	microspectrophotometry	adult	40	
42	Marosatherina	ladigesi	single cone	452	microspectrophotometry	adult	40	
43	Marosatherina	ladigesi	single cone	461	microspectrophotometry	adult	40	
44	Marosatherina	ladigesi	single cone	481	microspectrophotometry	adult	40	
45	Marosatherina	ladigesi	single cone	531	microspectrophotometry	adult	40	
46	Marosatherina	ladigesi	single cone	557	microspectrophotometry	adult	40	
47	Marosatherina	ladigesi	double cone	452	microspectrophotometry	adult	40	
48	Marosatherina	ladigesi	double cone	461	microspectrophotometry	adult	40	
49	Marosatherina	ladigesi	double cone	531	microspectrophotometry	adult	40	
50	Marosatherina	ladigesi	double cone	557	microspectrophotometry	adult	40	
51	Synodus	variegatus	rod	493	microspectrophotometry	adult	32	
52	Synodus	variegatus	single cone	368	microspectrophotometry	adult	32	
53	Synodus	variegatus	double cone	482	microspectrophotometry	adult	32	
54	Synodus	variegatus	double cone	503	microspectrophotometry	adult	32	
55	Belone	belone	rod	509	microspectrophotometry	adult	40	
56	Belone	belone	single cone	422	microspectrophotometry	adult	40	
57	Belone	belone	single cone	508	microspectrophotometry	adult	40	
58	Belone	belone	twin cone	508	microspectrophotometry	adult	40	
59	Dermogenys	pusilla	rod	507	microspectrophotometry	adult	40	
60	Dermogenys	pusilla	single cone	377	microspectrophotometry	adult	40	
61	Dermogenys	pusilla	single cone	526	microspectrophotometry	adult	40	
62	Dermogenys	pusilla	single cone	572	microspectrophotometry	adult	40	
63	Dermogenys	pusilla	double cone	483	microspectrophotometry	adult	40	
64	Dermogenys	pusilla	double cone	526	microspectrophotometry	adult	40	
65	Dermogenys	pusilla	double cone	572	microspectrophotometry	adult	40	
66	Dermogenys	pusilla	double cone	545	microspectrophotometry	adult	40	
67	Myripristis	berndti	rod	495	microspectrophotometry	adult	32	
68	Myripristis	berndti	single cone	467	microspectrophotometry	adult	32	
69	Myripristis	berndti	twin cone	513	microspectrophotometry	adult	32	
70	Neoniphon	sammara	rod	502	microspectrophotometry	adult	32	
71	Neoniphon	sammara	single cone	448	microspectrophotometry	adult	32	
72	Neoniphon	sammara	double cone	514	microspectrophotometry	adult	32	
73	Neoniphon	sammara	double cone	506	microspectrophotometry	adult	32	
74	Sargocentron	xantherythrum	rod	490	microspectrophotometry	adult	32	
75	Sargocentron	xantherythrum	single cone	446	microspectrophotometry	adult	32	
76	Sargocentron	xantherythrum	twin cone	512	microspectrophotometry	adult	32	
77	Neoceratodus	forsteri	rod	540	microspectrophotometry	adult	19	
78	Neoceratodus	forsteri	single cone	479	microspectrophotometry	adult	19	
79	Neoceratodus	forsteri	single cone	558	microspectrophotometry	adult	19	
80	Neoceratodus	forsteri	single cone	623	microspectrophotometry	adult	19	
81	Astyanax	fasciatus	rod	520	microspectrophotometry	adult	37	
82	Astyanax	fasciatus	single cone	449	microspectrophotometry	adult	37	
83	Astyanax	fasciatus	single cone	547	microspectrophotometry	adult	37	
84	Astyanax	fasciatus	single cone	572	microspectrophotometry	adult	37	
85	Astyanax	fasciatus	double cone	547	microspectrophotometry	adult	37	
86	Astyanax	fasciatus	double cone	572	microspectrophotometry	adult	37	
87	Alosa	kessleri	rod	510	microspectrophotometry	adult	18	
88	Alosa	kessleri	single cone	509	microspectrophotometry	adult	18	
89	Alosa	kessleri	single cone	557	microspectrophotometry	adult	18	
90	Alosa	kessleri	double cone	509	microspectrophotometry	adult	18	
91	Alosa	kessleri	double cone	557	microspectrophotometry	adult	18	
92	Alosa	kessleri	twin cone	557	microspectrophotometry	adult	18	
93	Clupea	pallasii	rod	501	microspectrophotometry	adult	5	
94	Clupea	pallasii	single cone	514	microspectrophotometry	adult	5	
95	Clupea	pallasii	double cone	515	microspectrophotometry	adult	5	
96	Clupea	pallasii	double cone	534	microspectrophotometry	adult	5	
97	Clupea	pallasii	twin cone	529	microspectrophotometry	adult	5	
98	Sardinops	melanostictus	rod	502	microspectrophotometry	adult	35	
99	Sardinops	melanostictus	single cone	393	microspectrophotometry	adult	35	
100	Sardinops	melanostictus	double cone	493	microspectrophotometry	adult	35	
101	Sardinops	melanostictus	double cone	522	microspectrophotometry	adult	35	
102	Sardinops	melanostictus	double cone	542	microspectrophotometry	adult	35	
103	Engraulis	mordax	rod	498	microspectrophotometry	adult	5	
104	Engraulis	mordax	single cone	530	microspectrophotometry	adult	5	
105	Engraulis	mordax	twin cone	532	microspectrophotometry	adult	5	
106	Engraulis	encrasicolus	rod	500	microspectrophotometry	adult	25	
107	Engraulis	encrasicolus	single cone	492	microspectrophotometry	adult	25	
108	Engraulis	encrasicolus	single cone	500	microspectrophotometry	adult	25	
109	Engraulis	encrasicolus	triple cone	474	microspectrophotometry	adult	25	
110	Engraulis	encrasicolus	triple cone	500	microspectrophotometry	adult	25	
111	Engraulis	japonicus	rod	502	microspectrophotometry	adult	25	
112	Engraulis	japonicus	single cone	492	microspectrophotometry	adult	25	
113	Engraulis	japonicus	single cone	502	microspectrophotometry	adult	25	
114	Engraulis	japonicus	triple cone	478	microspectrophotometry	adult	25	
115	Engraulis	japonicus	triple cone	502	microspectrophotometry	adult	25	
116	Abramis	ballerus	rod	518	microspectrophotometry	adult	22	
117	Abramis	ballerus	single cone	451	microspectrophotometry	adult	22	
118	Abramis	ballerus	single cone	537	microspectrophotometry	adult	22	
119	Abramis	ballerus	single cone	620	microspectrophotometry	adult	22	
120	Abramis	ballerus	double cone	537	microspectrophotometry	adult	22	
121	Abramis	ballerus	double cone	620	microspectrophotometry	adult	22	
122	Abramis	brama	rod	537	microspectrophotometry	adult	22	
123	Abramis	brama	single cone	451	microspectrophotometry	adult	22	
124	Abramis	brama	single cone	537	microspectrophotometry	adult	22	
125	Abramis	brama	single cone	620	microspectrophotometry	adult	22	
126	Abramis	brama	double cone	537	microspectrophotometry	adult	22	
127	Abramis	brama	double cone	620	microspectrophotometry	adult	22	
128	Alburnus	alburnus	rod	517	microspectrophotometry	adult	22	
129	Alburnus	alburnus	single cone	440	microspectrophotometry	adult	22	
130	Alburnus	alburnus	single cone	523	microspectrophotometry	adult	22	
131	Alburnus	alburnus	single cone	571	microspectrophotometry	adult	22	
132	Blicca	bjoerkna	rod	539	microspectrophotometry	adult	22	
133	Blicca	bjoerkna	single cone	444	microspectrophotometry	adult	22	
134	Blicca	bjoerkna	single cone	533	microspectrophotometry	adult	22	
135	Blicca	bjoerkna	single cone	603	microspectrophotometry	adult	22	
136	Carassius	auratus	rod	521	microspectrophotometry	adult	3	
137	Carassius	auratus	single cone	360	microspectrophotometry	adult	3	
138	Carassius	auratus	single cone	452	microspectrophotometry	adult	3	
139	Carassius	auratus	single cone	532	microspectrophotometry	adult	3	
140	Carassius	auratus	single cone	614	microspectrophotometry	adult	3	
141	Carassius	auratus	double cone	532	microspectrophotometry	adult	3	
142	Carassius	auratus	double cone	614	microspectrophotometry	adult	3	
143	Carassius	carassius	rod	526	microspectrophotometry	adult	22	
144	Carassius	carassius	single cone	449	microspectrophotometry	adult	22	
145	Carassius	carassius	single cone	529	microspectrophotometry	adult	22	
146	Carassius	carassius	single cone	535	microspectrophotometry	adult	22	
147	Carassius	carassius	single cone	608	microspectrophotometry	adult	22	
148	Carassius	carassius	twin cone	619	microspectrophotometry	adult	22	
149	Carassius	auratus	rod	522	microspectrophotometry	adult	29	
150	Carassius	auratus	single cone	455	microspectrophotometry	adult	29	
151	Carassius	auratus	double cone	530	microspectrophotometry	adult	29	
152	Carassius	auratus	double cone	625	microspectrophotometry	adult	29	
153	Scardinius	erythrophthalmus	rod	515	microspectrophotometry	adult	49	
154	Scardinius	erythrophthalmus	single cone	355	microspectrophotometry	adult	49	
155	Scardinius	erythrophthalmus	single cone	405	microspectrophotometry	adult	49	
156	Scardinius	erythrophthalmus	single cone	505	microspectrophotometry	adult	49	
157	Scardinius	erythrophthalmus	single cone	565	microspectrophotometry	adult	49	
158	Scardinius	erythrophthalmus	double cone	505	microspectrophotometry	adult	49	
159	Scardinius	erythrophthalmus	double cone	565	microspectrophotometry	adult	49	
160	Tinca	tinca	rod	533	microspectrophotometry	adult	29	
161	Tinca	tinca	single cone	454	microspectrophotometry	adult	29	
162	Tinca	tinca	single cone	533	microspectrophotometry	adult	29	
163	Tinca	tinca	single cone	615	microspectrophotometry	adult	29	
164	Tinca	tinca	double cone	533	microspectrophotometry	adult	29	
165	Tinca	tinca	double cone	615	microspectrophotometry	adult	29	
166	Fundulus	heteroclitus	rod	503	microspectrophotometry	adult	14	
167	Fundulus	heteroclitus	single cone	363	microspectrophotometry	adult	14	
168	Fundulus	heteroclitus	single cone	400	microspectrophotometry	adult	14	
169	Fundulus	heteroclitus	double cone	463	microspectrophotometry	adult	14	
170	Fundulus	heteroclitus	double cone	563	microspectrophotometry	adult	14	
171	Fundulus	heteroclitus	twin cone	563	microspectrophotometry	adult	14	
172	Lucania	goodei	single cone	359	microspectrophotometry	adult	17	
173	Lucania	goodei	single cone	405	microspectrophotometry	adult	17	
174	Lucania	goodei	single cone	454	microspectrophotometry	adult	17	
175	Lucania	goodei	single cone	538	microspectrophotometry	adult	17	
176	Lucania	goodei	double cone	454	microspectrophotometry	adult	17	
177	Lucania	goodei	double cone	538	microspectrophotometry	adult	17	
178	Lucania	goodei	double cone	573	microspectrophotometry	adult	17	
179	Poecilia	parae	rod	503	microspectrophotometry	adult	21	
180	Poecilia	parae	single cone	355	microspectrophotometry	adult	21	
181	Poecilia	parae	single cone	407	microspectrophotometry	adult	21	
182	Poecilia	parae	double cone	456	microspectrophotometry	adult	21	
183	Poecilia	parae	double cone	526	microspectrophotometry	adult	21	
184	Poecilia	parae	double cone	543	microspectrophotometry	adult	21	
185	Poecilia	parae	twin cone	543	microspectrophotometry	adult	21	
186	Poecilia	latipinna	rod	503	microspectrophotometry	adult	27	
187	Poecilia	latipinna	single cone	403	microspectrophotometry	adult	27	
188	Poecilia	latipinna	single cone	463	microspectrophotometry	adult	27	
189	Poecilia	latipinna	single cone	551	microspectrophotometry	adult	27	
190	Poecilia	latipinna	single cone	577	microspectrophotometry	adult	27	
191	Poecilia	latipinna	twin cone	551	microspectrophotometry	adult	27	
192	Poecilia	latipinna	twin cone	577	microspectrophotometry	adult	27	
193	Poecilia	mexicana	rod	504	microspectrophotometry	adult	27	
194	Poecilia	mexicana	single cone	350	microspectrophotometry	adult	27	
195	Poecilia	mexicana	single cone	402	microspectrophotometry	adult	27	
196	Poecilia	mexicana	double cone	461	microspectrophotometry	adult	27	
197	Poecilia	mexicana	double cone	537	microspectrophotometry	adult	27	
198	Poecilia	mexicana	double cone	563	microspectrophotometry	adult	27	
199	Poecilia	formosa	rod	504	microspectrophotometry	adult	27	
200	Poecilia	formosa	single cone	352	microspectrophotometry	adult	27	
201	Poecilia	formosa	single cone	404	microspectrophotometry	adult	27	
202	Poecilia	formosa	double cone	463	microspectrophotometry	adult	27	
203	Poecilia	formosa	double cone	560	microspectrophotometry	adult	27	
204	Megalops	atlanticus	rod	500	microspectrophotometry	adult	44	
205	Megalops	atlanticus	single cone	364	microspectrophotometry	adult	44	
206	Megalops	atlanticus	single cone	411	microspectrophotometry	adult	44	
207	Megalops	atlanticus	single cone	451	microspectrophotometry	adult	44	
208	Megalops	atlanticus	single cone	476	microspectrophotometry	adult	44	
209	Megalops	atlanticus	single cone	551	microspectrophotometry	adult	44	
210	Gadus	macrocephalus	single cone	441	microspectrophotometry	adult	5	
211	Gadus	macrocephalus	twin cone	523	microspectrophotometry	adult	5	
212	Gaidropsarus	mediterraneus	rod	512	microspectrophotometry	adult	29	
213	Gaidropsarus	mediterraneus	single cone	535	microspectrophotometry	adult	29	
214	Gaidropsarus	mediterraneus	twin cone	535	microspectrophotometry	adult	29	
215	Microgadus	proximus	rod	497	microspectrophotometry	adult	5	
216	Microgadus	proximus	single cone	439	microspectrophotometry	adult	5	
217	Microgadus	proximus	single cone	523	microspectrophotometry	adult	5	
218	Microgadus	proximus	twin cone	522	microspectrophotometry	adult	5	
219	Theragra	chalcogramma	rod	500	microspectrophotometry	adult	5	
220	Theragra	chalcogramma	single cone	442	microspectrophotometry	adult	5	
221	Theragra	chalcogramma	twin cone	516	microspectrophotometry	adult	5	
222	Poecilia	reticulata	rod	503	microspectrophotometry	adult	1	
223	Poecilia	reticulata	single cone	410	microspectrophotometry	adult	1	
224	Poecilia	reticulata	double cone	465	microspectrophotometry	adult	1	
225	Poecilia	reticulata	double cone	473	microspectrophotometry	adult	1	
226	Poecilia	reticulata	twin cone	573	microspectrophotometry	adult	1	
227	Merluccius	productus	rod	495	microspectrophotometry	adult	5	
228	Merluccius	productus	single cone	516	microspectrophotometry	adult	5	
229	Merluccius	productus	twin cone	517	microspectrophotometry	adult	5	
230	Aulorhynchus	flavidus	rod	499	microspectrophotometry	adult	5	
231	Aulorhynchus	flavidus	single cone	360	microspectrophotometry	adult	5	
232	Aulorhynchus	flavidus	double cone	496	microspectrophotometry	adult	5	
233	Aulorhynchus	flavidus	double cone	536	microspectrophotometry	adult	5	
234	Aulostomus	chinensis	rod	494	microspectrophotometry	adult	32	
235	Aulostomus	chinensis	single cone	421	microspectrophotometry	adult	32	
236	Aulostomus	chinensis	twin cone	473	microspectrophotometry	adult	32	
237	Gasterosteus	aculeatus	rod	502	microspectrophotometry	adult	5	
238	Gasterosteus	aculeatus	single cone	362	microspectrophotometry	adult	5	
239	Gasterosteus	aculeatus	single cone	439	microspectrophotometry	adult	5	
240	Gasterosteus	aculeatus	double cone	524	microspectrophotometry	adult	5	
241	Gasterosteus	aculeatus	double cone	576	microspectrophotometry	adult	5	
242	Spinachia	spinachia	rod	510	microspectrophotometry	adult	29	
243	Spinachia	spinachia	single cone	445	microspectrophotometry	adult	29	
244	Spinachia	spinachia	single cone	555	microspectrophotometry	adult	29	
245	Spinachia	spinachia	double cone	532	microspectrophotometry	adult	29	
246	Spinachia	spinachia	double cone	590	microspectrophotometry	adult	29	
247	Gobiesox	maecmdricus	rod	500	microspectrophotometry	adult	5	
248	Gobiesox	maecmdricus	single cone	440	microspectrophotometry	adult	5	
249	Gobiesox	maecmdricus	double cone	526	microspectrophotometry	adult	5	
250	Gobiesox	maecmdricus	double cone	567	microspectrophotometry	adult	5	
251	Hypomesus	pretiosus	rod	500	microspectrophotometry	adult	5	
252	Hypomesus	pretiosus	single cone	369	microspectrophotometry	adult	5	
253	Hypomesus	pretiosus	single cone	461	microspectrophotometry	adult	5	
254	Hypomesus	pretiosus	double cone	522	microspectrophotometry	adult	5	
255	Hypomesus	pretiosus	double cone	570	microspectrophotometry	adult	5	
256	Osmerus	dentex	rod	516	microspectrophotometry	adult	26	
257	Osmerus	dentex	single cone	425	microspectrophotometry	adult	26	
258	Osmerus	dentex	double cone	514	microspectrophotometry	adult	26	
259	Osmerus	dentex	double cone	565	microspectrophotometry	adult	26	
260	Spirinchus	thaleichthys	rod	499	microspectrophotometry	adult	5	
261	Spirinchus	thaleichthys	single cone	364	microspectrophotometry	adult	5	
262	Spirinchus	thaleichthys	single cone	465	microspectrophotometry	adult	5	
263	Spirinchus	thaleichthys	double cone	517	microspectrophotometry	adult	5	
264	Spirinchus	thaleichthys	double cone	572	microspectrophotometry	adult	5	
265	Acanthurus	nigroris	rod	494	microspectrophotometry	adult	32	
266	Acanthurus	nigroris	single cone	439	microspectrophotometry	adult	32	
267	Acanthurus	nigroris	double cone	523	microspectrophotometry	adult	32	
268	Acanthurus	nigroris	double cone	538	microspectrophotometry	adult	32	
