,feature,Gradient Boosting Classifier,Light Gradient Boosting Machine,Extreme Gradient Boosting,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.7543121988965166,0.4590604026845638,0.34973454,0.5210357154450362
66,67,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
67,68,0.6498975129342925,0.30201342281879195,0.23421395,0.3953749613343005
68,69,0.4414464139650592,0.3194630872483222,0.3011123,0.3540072651368213
69,70,0.6284876613203603,0.39865771812080536,0.37946182,0.46886906811170564
70,71,0.21869072850079077,0.3530201342281879,0.1769752,0.24956202275654524
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
75,76,0.5154685759930753,0.24026845637583893,0.17400545,0.309914160395707
76,77,0.3866528979212296,0.18791946308724833,0.21173885,0.2621037385517202
77,78,0.5520662079241925,0.338255033557047,0.34190077,0.41074066912569435
78,79,0.02658917091031121,0.0348993288590604,0.04304334,0.03484394708567257
79,80,0.0,0.0,0.0,0.0
80,81,0.11061979395913334,0.01879194630872483,0.04078847,0.056733403988873055
81,82,0.3543671710077142,0.2174496644295302,0.029188806,0.2003352138761104
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.4967563109446258,0.3288590604026846,0.3215065,0.38237395719715034
95,96,0.27603310396209624,0.1691275167785235,0.17095038,0.20537033456284717
96,97,0.3500552659901123,0.08993288590604027,0.04384354,0.16127723106349628
97,98,0.39973445216689074,0.4684563758389262,0.2733177,0.3805028408899395
98,99,0.35845978044129917,0.2953020134228188,0.22584085,0.29320088184288706
99,100,0.1649859257811093,0.08859060402684564,0.2743854,0.17598730749127264
100,101,0.1660309436263691,0.25100671140939596,0.05997548,0.1590043779446387
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.15633725864667694,0.2738255033557047,0.064481005,0.16488125569165846
111,112,0.5920138069828794,0.5865771812080537,0.31225732,0.49694943595991004
112,113,0.36783201811745364,0.4778523489932886,0.24205862,0.36258099565585883
113,114,0.396820603450032,0.21208053691275167,0.21414015,0.27434709577784416
114,115,0.3357170935853066,0.12885906040268458,0.026353942,0.16364336540611166
115,116,0.11330224166036632,0.07114093959731543,0.123086475,0.10250988536451815
116,117,0.27603310396209624,0.1691275167785235,0.17095038,0.20537033456284717
117,118,0.11061979395913334,0.01879194630872483,0.04078847,0.056733403988873055
118,119,0.29281154792592745,0.18120805369127516,0.19340387,0.22247449049484247
119,120,0.139042884647097,0.4684563758389262,0.029348461,0.21228257381447704
120,121,0.4414464139650592,0.3194630872483222,0.3011123,0.3540072651368213
121,122,0.3313430009416629,0.17852348993288591,0.19134462,0.2337370365572837
122,123,0.43636451301598456,0.9154362416107382,0.09161714,0.48113929727346755
123,124,0.14762242394160377,0.363758389261745,1.0,0.5037936044011162
124,125,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
125,126,0.5575277432192633,0.37718120805369126,0.3458738,0.42686091805775633
126,127,0.11061979395913334,0.01879194630872483,0.04078847,0.056733403988873055
127,128,0.5263436389904838,0.40671140939597317,0.3300459,0.421033652358652
128,129,0.0,0.0,0.0,0.0
129,130,0.24784909489525297,0.24026845637583893,0.18378605,0.22396786691876616
130,131,0.4414464139650592,0.3194630872483222,0.3011123,0.3540072651368213
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.2207232069825296,0.1597315436241611,0.15055615,0.17700363256841065
134,135,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
135,136,0.5182491873905531,0.47114093959731546,0.33500746,0.4414658619710386
136,137,0.1659296909387,0.028187919463087248,0.061182708,0.08510010598330957
137,138,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
138,139,0.19488250941624383,0.436241610738255,0.074278705,0.23513427499218742
139,140,0.11379816967764093,0.5476510067114094,0.049790386,0.23707985416653152
140,141,0.6073761049037592,0.3476510067114094,0.362295,0.4391073711201308
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.11061979395913334,0.01879194630872483,0.04078847,0.056733403988873055
144,145,0.0,0.0,0.0,0.0
145,146,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
146,147,0.27603310396209624,0.1691275167785235,0.17095038,0.20537033456284717
147,148,0.05530989697956667,0.009395973154362415,0.020394236,0.028366701994436527
