	Opsin_Class
Bovine	3
S1	3
S2	3
S3	2
S4	3
S5	3
S6	2
S7	2
S8	2
S9	2
S10	3
S11	3
S12	3
S13	3
S14	3
S15	2
S16	3
S17	2
S18	2
S19	3
S20	3
S21	3
S22	3
S23	2
S24	3
S25	4
S26	3
S27	3
S28	3
S29	4
S30	3
S31	2
S32	3
S33	3
S34	2
S35	2
S36	3
S37	2
S38	2
S39	3
S40	3
S41	4
S42	3
S43	3
S44	3
S45	2
S46	2
S47	2
S48	3
S49	3
S50	3
S51	3
S52	3
S53	3
S54	3
S55	2
S56	3
S57	3
S58	3
S59	3
S60	3
S61	3
S62	3
S63	2
S64	3
S65	3
S66	3
S67	2
S68	2
S69	3
S70	3
S71	2
S72	3
S73	3
S74	3
S75	3
S76	3
S77	3
S78	3
S79	3
S80	2
S81	3
S82	3
S83	3
S84	3
S85	2
S86	2
S87	2
S88	2
S89	3
S90	2
S91	4
S92	2
S93	2
S94	4
S95	2
S96	2
S97	2
S98	4
S99	2
S100	3
S101	2
S102	3
S103	2
S104	2
S105	2
S106	2
S107	2
S108	3
S109	4
S110	3
S111	4
S112	2
S113	4
S114	2
S115	2
S116	2
S117	4
S118	3
S119	2
S120	2
S121	3
S122	2
S123	3
S124	2
S125	2
S126	2
S127	3
S128	4
S129	3
S130	3
S131	3
S132	3
S133	3
S134	2
S135	3
S136	2
S137	3
S138	2
S139	4
S140	4
S141	2
S142	3
S143	2
S144	2
S145	2
S146	3
S147	3
S148	3
S149	2
S150	3
S151	2
S152	3
S153	2
S154	2
S155	2
S156	2
S157	2
S158	2
S159	3
S160	3
S161	2
S162	3
S163	2
S164	2
S165	3
S166	4
S167	4
S168	2
S169	2
S170	1
S171	1
S172	2
S173	3
S174	2
S175	2
S176	2
S177	3
S178	3
S179	2
S180	2
S181	2
S182	2
S183	2
S184	2
S185	4
S186	2
S187	2
S188	1
S189	2
S190	2
S191	2
S192	2
S193	2
S194	2
S195	2
S196	2
S197	4
S198	3
S199	4
S200	4
S201	4
S202	1
S203	1
S204	1
S205	2
S206	1
S207	3
S208	3
S209	3
S210	3
S211	4
S212	3
S213	3
S214	3
S215	3
S216	3
S217	3
S218	3
S219	3
S220	3
S221	3
S222	3
S223	3
S224	3
S225	0
S226	0
S227	1
S228	0
S229	0
S230	0
S231	1
S232	0
S233	1
S234	0
S235	1
S236	0
S237	0
S238	1
S239	1
S240	1
S241	1
S242	2
S243	2
S244	2
S245	3
S246	3
S247	3
S248	2
S249	1
S250	1
S251	1
S252	1
S253	3
S254	4
S255	4
S256	4
S257	4
S258	4
S259	2
S260	3
S261	4
S262	2
S263	3
S264	3
S265	3
S266	4
S267	3
S268	3
S269	3
S270	2
S271	4
S272	4
S273	3
S274	2
S275	3
S276	4
S277	4
S278	0
S279	1
S280	0
S281	1
S282	1
S283	0
S284	1
S285	0
S286	0
S287	1
S288	1
S289	1
S290	1
S291	1
S292	4
S293	4
S294	4
S295	4
S296	4
S297	4
S298	4
S299	4
S300	4
S301	4
S302	4
S303	4
S304	4
S305	4
S306	4
S307	4
S308	4
S309	2
S310	2
S311	0
S312	0
S313	1
S314	1
S315	0
S316	0
S317	1
S318	0
S319	0
S320	1
S321	0
S322	0
S323	4
S324	0
S325	4
S326	4
S327	4
S328	4
S329	4
S330	4
S331	2
S332	1
S333	1
S334	0
S335	3
S336	0
S337	1
S338	3
S339	2
S340	1
S341	0
S342	1
S343	1
S344	0
S345	0
S346	0
S347	0
S348	0
S349	0
S350	0
S351	1
S352	1
S353	0
S354	4
S355	4
S356	3
S357	3
S358	1
S359	1
S360	1
S361	1
S362	1
S363	2
S364	2
S365	2
S366	3
S367	2
S368	1
S369	2
S370	0
S371	2
S372	2
S373	2
S374	2
S375	2
S376	2
S377	4
S378	3
S379	3
S380	1
S381	1
S382	2
S383	2
S384	4
S385	3
S386	1
S387	0
S388	0
S389	1
S390	1
S391	1
S392	4
S393	2
S394	1
S395	4
S396	3
S397	1
S398	4
S399	2
S400	2
S401	4
S402	2
S403	1
S404	4
S405	2
S406	1
S407	4
S408	3
S409	3
S410	4
S411	4
S412	4
S413	4
S414	4
S415	4
S416	4
S417	4
S418	4
S419	4
S420	4
S421	4
S422	4
S423	4
S424	4
S425	4
S426	4
S427	4
S428	4
S429	2
S430	1
S431	1
S432	1
S433	2
S434	1
S435	1
S436	2
S437	1
S438	1
S439	1
S440	1
S441	1
S442	1
S443	1
S444	1
S445	1
S446	1
S447	1
S448	1
S449	1
S450	1
S451	1
S452	1
S453	1
S454	1
S455	1
S456	1
S457	1
S458	1
S459	1
S460	1
S461	1
S462	1
S463	1
S464	1
S465	1
S466	1
S467	2
S468	2
S469	2
S470	3
S471	1
S472	2
S473	2
S474	2
S475	4
S476	4
S477	4
S478	2
S479	1
S480	0
S481	4
S482	4
S483	3
S484	1
S485	4
S486	4
S487	2
S488	4
S489	2
S490	4
S491	2
S492	4
S493	4
S494	4
S495	4
S496	4
S497	4
S498	4
S499	3
S500	2
S501	2
S502	2
S503	2
S504	4
S505	2
S506	2
S507	2
S508	4
S509	2
S510	3
S511	3
S512	3
S513	3
S514	2
S515	3
S516	3
S517	4
S518	2
S519	2
S520	3
S521	0
S522	0
S523	0
S524	0
S525	0
S526	1
S527	0
S528	0
S529	0
S530	0
S531	0
S532	0
S533	0
S534	1
S535	1
S536	1
S537	1
S538	0
S539	0
S540	0
S541	1
S542	0
S543	0
S544	0
S545	0
S546	0
S547	0
S548	0
S549	0
S550	0
S551	1
S552	1
S553	0
S554	0
S555	1
S556	0
S557	0
S558	0
S559	1
S560	1
S561	1
S562	1
S563	1
S564	1
S565	0
S566	0
S567	1
S568	1
S569	1
S570	1
S571	1
S572	0
S573	0
S574	1
S575	1
S576	1
S577	1
S578	1
S579	0
S580	0
S581	1
S582	0
S583	0
S584	0
S585	0
S586	0
S587	0
S588	0
S589	0
S590	0
S591	1
S592	1
S593	0
S594	0
S595	0
S596	0
S597	0
S598	0
S599	0
S600	1
S601	1
S602	1
S603	0
S604	0
S605	0
S606	1
S607	1
S608	1
S609	0
S610	0
S611	1
S612	0
S613	0
S614	0
S615	0
S616	0
S617	0
S618	0
S619	0
S620	0
S621	0
S622	0
S623	0
S624	0
S625	0
S626	0
S627	0
S628	0
S629	0
S630	0
S631	0
S632	0
S633	1
S634	1
S635	1
S636	1
S637	0
S638	0
S639	0
S640	0
S641	3
S642	0
S643	1
S644	1
S645	0
S646	0
S647	1
S648	0
S649	4
S650	4
S651	4
S652	4
S653	4
S654	4
S655	4
S656	4
S657	4
S658	4
S659	4
S660	4
S661	4
S662	4
S663	4
S664	4
S665	4
S666	4
S667	4
S668	4
S669	4
S670	3
S671	3
S672	0
S673	0
S674	0
S675	0
S676	1
S677	1
S678	0
S679	0
S680	0
S681	0
S682	1
S683	1
S684	0
S685	1
S686	0
S687	0
S688	3
S689	3
S690	2
S691	2
S692	2
S693	1
S694	1
S695	1
S696	0
S697	0
S698	0
S699	1
S700	0
S701	0
S702	1
S703	0
S704	0
S705	0
S706	1
S707	1
S708	2
S709	2
S710	3
S711	2
S712	4
S713	4
S714	4
S715	4
S716	4
S717	4
S718	4
S719	4
S720	4
S721	4
S722	4
S723	4
S724	4
S725	4
