,feature,Logistic Regression,Ridge Classifier,Light Gradient Boosting Machine,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.657951974631828,0.7750522310143269,0.4410011918951132,0.6246684658470892
66,67,0.131384200849937,0.1581947802555006,0.11442193087008343,0.134666970658507
67,68,0.611532011650253,0.6491284618043179,0.4410011918951132,0.5672205551165613
68,69,0.33086721958530024,0.31860759878447903,0.2097735399284863,0.2864161194327552
69,70,0.7179653465134409,0.8218550522052867,0.4898688915375447,0.6765630967520907
70,71,0.38799897599103345,0.4422521123220078,0.36114421930870083,0.39713176920724735
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.131384200849937,0.1581947802555006,0.11442193087008343,0.134666970658507
75,76,0.4209012134655259,0.5057780218317312,0.31227651966626935,0.4129852516545088
76,77,0.5595862123424611,0.6338881401587413,0.44815256257449343,0.5472089716918985
77,78,0.5936356212851743,0.6349971592954802,0.43861740166865315,0.5557500607497693
78,79,0.0941695739242023,0.07514490465786466,0.01907032181168057,0.06279493346458252
79,80,0.0,0.0,0.0,0.0
80,81,0.262768401699874,0.3163895605110012,0.22884386174016685,0.269333941317014
81,82,0.31601686828916986,0.34206020572612,0.2562574493444577,0.30477817445324923
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.4622514204352372,0.4768023790399796,0.32419547079856975,0.42108309009126216
95,96,0.29681781064258717,0.3174985796477401,0.21930870083432658,0.27787503037488465
96,97,0.3868518045228128,0.5046690026949923,0.3218116805721097,0.40444416259663823
97,98,0.5041247461430978,0.5674590283792398,0.3742550655542312,0.4819462800255229
98,99,0.5272478751433471,0.7510994954882134,0.3599523241954708,0.5460998982756772
99,100,0.3868518045228128,0.5046690026949923,0.3218116805721097,0.40444416259663823
100,101,0.487953972728482,0.6768669858049958,0.399284862932062,0.52136860715518
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.3242553106812185,0.2625084451279003,0.33253873659118,0.30643416413343294
111,112,0.6334632760757267,0.5859756794079767,0.44576877234803336,0.5550692426105789
112,113,0.7303041978608784,0.8834403430848493,0.4803337306317044,0.6980260905258108
113,114,0.4282020114925241,0.4756933599032407,0.33373063170441003,0.4125420010333916
114,115,0.2850580168309432,0.35222169744390386,0.20738974970202623,0.2815564879922911
115,116,0.5194531679851532,0.5736696969141778,0.2526817640047676,0.44860154296803284
116,117,0.29681781064258717,0.3174985796477401,0.21930870083432658,0.27787503037488465
117,118,0.262768401699874,0.3163895605110012,0.22884386174016685,0.269333941317014
118,119,0.29681781064258717,0.3174985796477401,0.21930870083432658,0.27787503037488465
119,120,0.5086085448177361,0.5746727311118089,0.38974970202622167,0.49101032598525557
120,121,0.33086721958530024,0.31860759878447903,0.2097735399284863,0.2864161194327552
121,122,0.4622514204352372,0.4768023790399796,0.32419547079856975,0.42108309009126216
122,123,0.9038765197248195,0.8193103844839728,0.8104886769964244,0.8445585270684056
123,124,0.5246374978409287,0.578972343313158,0.3289630512514899,0.4775242974685256
124,125,0.131384200849937,0.1581947802555006,0.11442193087008343,0.134666970658507
125,126,0.5936356212851743,0.6349971592954802,0.43861740166865315,0.5557500607497693
126,127,0.319297736888724,0.4901002129039006,0.24553039332538737,0.35164278103933727
127,128,0.5751091174448806,0.6529277148610297,0.4135876042908224,0.5472081455322443
128,129,0.0,0.0,0.0,0.0
129,130,0.3915933973116329,0.3392101974341237,0.18116805721096543,0.3039905506522406
130,131,0.4622514204352372,0.4768023790399796,0.32419547079856975,0.42108309009126216
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.16543360979265012,0.15930379939223951,0.10488676996424315,0.1432080597163776
134,135,0.131384200849937,0.1581947802555006,0.11442193087008343,0.134666970658507
135,136,0.7115866607643264,0.6857128177511435,0.4958283671036949,0.6310426152063883
136,137,0.394152602549811,0.47458434076650174,0.3432657926102503,0.404000911975521
137,138,0.131384200849937,0.1581947802555006,0.11442193087008343,0.134666970658507
138,139,0.6884436916633896,0.8446208917213248,0.6197854588796186,0.7176166807547776
139,140,0.624043386458177,0.7386431104339947,0.5625744934445769,0.6417536634455828
140,141,0.7250198221351113,0.7931919395509808,0.5530393325387366,0.6904170314082761
141,142,0.0,0.0,0.0,0.0
142,143,0.04479599768297669,0.12917547887037992,0.04052443384982122,0.07149863680105926
143,144,0.262768401699874,0.3163895605110012,0.22884386174016685,0.269333941317014
144,145,0.0,0.0,0.0,0.0
