	Opsin_Class
Bovine	3
S1	3
S2	3
S3	2
S4	2
S5	2
S6	2
S7	2
S8	2
S9	2
S10	3
S11	2
S12	3
S13	2
S14	3
S15	2
S16	3
S17	2
S18	2
S19	3
S20	3
S21	3
S22	3
S23	2
S24	3
S25	3
S26	2
S27	3
S28	3
S29	3
S30	3
S31	2
S32	3
S33	3
S34	2
S35	2
S36	3
S37	2
S38	2
S39	3
S40	3
S41	3
S42	3
S43	3
S44	3
S45	2
S46	2
S47	2
S48	2
S49	3
S50	2
S51	3
S52	2
S53	2
S54	2
S55	2
S56	3
S57	2
S58	3
S59	3
S60	2
S61	3
S62	3
S63	2
S64	3
S65	2
S66	2
S67	2
S68	2
S69	3
S70	3
S71	2
S72	3
S73	3
S74	3
S75	2
S76	3
S77	3
S78	3
S79	3
S80	2
S81	3
S82	3
S83	3
S84	2
S85	2
S86	2
S87	2
S88	2
S89	2
S90	2
S91	4
S92	2
S93	2
S94	3
S95	2
S96	2
S97	2
S98	3
S99	2
S100	3
S101	2
S102	3
S103	2
S104	2
S105	2
S106	2
S107	2
S108	3
S109	4
S110	3
S111	3
S112	2
S113	3
S114	2
S115	2
S116	2
S117	3
S118	3
S119	2
S120	2
S121	3
S122	2
S123	2
S124	2
S125	2
S126	2
S127	3
S128	3
S129	2
S130	3
S131	3
S132	2
S133	3
S134	2
S135	3
S136	2
S137	3
S138	2
S139	4
S140	4
S141	2
S142	3
S143	2
S144	2
S145	2
S146	3
S147	3
S148	2
S149	2
S150	3
S151	2
S152	2
S153	2
S154	2
S155	2
S156	2
S157	2
S158	1
S159	2
S160	2
S161	2
S162	2
S163	2
S164	2
S165	2
S166	4
S167	3
S168	1
S169	2
S170	1
S171	1
S172	2
S173	2
S174	2
S175	2
S176	2
S177	2
S178	2
S179	2
S180	2
S181	2
S182	1
S183	1
S184	2
S185	3
S186	1
S187	1
S188	1
S189	1
S190	1
S191	1
S192	2
S193	1
S194	2
S195	2
S196	2
S197	4
S198	3
S199	4
S200	4
S201	4
S202	1
S203	1
S204	1
S205	1
S206	1
S207	3
S208	3
S209	3
S210	3
S211	3
S212	3
S213	3
S214	3
S215	3
S216	3
S217	3
S218	3
S219	3
S220	3
S221	3
S222	3
S223	3
S224	3
S225	0
S226	0
S227	1
S228	0
S229	0
S230	0
S231	0
S232	0
S233	1
S234	0
S235	1
S236	0
S237	0
S238	1
S239	1
S240	1
S241	1
S242	2
S243	2
S244	2
S245	3
S246	3
S247	3
S248	1
S249	1
S250	1
S251	1
S252	4
S253	4
S254	4
S255	4
S256	4
S257	4
S258	4
S259	4
S260	4
S261	4
S262	4
S263	4
S264	4
S265	4
S266	4
S267	4
S268	4
S269	4
S270	4
S271	4
S272	4
S273	4
S274	4
S275	4
S276	4
S277	4
S278	4
S279	4
S280	4
S281	1
S282	3
S283	3
S284	4
S285	4
S286	4
S287	4
S288	2
S289	3
S290	3
S291	2
S292	3
S293	3
S294	3
S295	3
S296	3
S297	3
S298	3
S299	2
S300	3
S301	3
S302	2
S303	1
S304	3
S305	3
S306	3
S307	0
S308	1
S309	0
S310	0
S311	1
S312	0
S313	1
S314	0
S315	0
S316	1
S317	1
S318	1
S319	1
S320	1
S321	4
S322	4
S323	4
S324	4
S325	4
S326	4
S327	4
S328	4
S329	3
S330	3
S331	3
S332	4
S333	4
S334	4
S335	4
S336	4
S337	4
S338	2
S339	2
S340	0
S341	0
S342	1
S343	1
S344	0
S345	0
S346	1
S347	0
S348	0
S349	0
S350	0
S351	0
S352	1
S353	3
S354	4
S355	0
S356	4
S357	1
S358	1
S359	4
S360	4
S361	4
S362	4
S363	4
S364	4
S365	2
S366	3
S367	4
S368	4
S369	4
S370	4
S371	4
S372	4
S373	4
S374	4
S375	4
S376	4
S377	2
S378	1
S379	1
S380	0
S381	3
S382	0
S383	1
S384	3
S385	2
S386	1
S387	0
S388	0
S389	1
S390	0
S391	0
S392	0
S393	0
S394	0
S395	0
S396	0
S397	1
S398	1
S399	0
S400	3
S401	3
S402	3
S403	3
S404	1
S405	1
S406	1
S407	1
S408	0
S409	2
S410	2
S411	2
S412	3
S413	2
S414	1
S415	2
S416	0
S417	2
S418	2
S419	2
S420	2
S421	2
S422	2
S423	1
S424	1
S425	1
S426	1
S427	1
S428	1
S429	4
S430	3
S431	3
S432	1
S433	1
S434	2
S435	2
S436	4
S437	3
S438	4
S439	4
S440	3
S441	3
S442	4
S443	4
S444	4
S445	4
S446	2
S447	3
S448	3
S449	3
S450	3
S451	3
S452	2
S453	3
S454	1
S455	0
S456	0
S457	1
S458	1
S459	1
S460	1
S461	1
S462	1
S463	1
S464	1
S465	1
S466	1
S467	4
S468	2
S469	1
S470	4
S471	2
S472	1
S473	4
S474	2
S475	2
S476	4
S477	2
S478	1
S479	4
S480	2
S481	1
S482	4
S483	2
S484	2
S485	4
S486	3
S487	4
S488	3
S489	3
S490	3
S491	3
S492	3
S493	4
S494	4
S495	4
S496	4
S497	4
S498	4
S499	4
S500	4
S501	4
S502	4
S503	4
S504	2
S505	1
S506	1
S507	1
S508	2
S509	1
S510	1
S511	1
S512	1
S513	1
S514	1
S515	1
S516	1
S517	1
S518	1
S519	1
S520	1
S521	1
S522	1
S523	1
S524	1
S525	1
S526	1
S527	1
S528	1
S529	1
S530	1
S531	1
S532	1
S533	1
S534	1
S535	1
S536	1
S537	1
S538	1
S539	1
S540	1
S541	1
S542	2
S543	2
S544	2
S545	3
S546	1
S547	1
S548	2
S549	2
S550	3
S551	4
S552	4
S553	2
S554	1
S555	0
S556	3
S557	3
S558	3
S559	1
S560	3
S561	3
S562	2
S563	3
S564	2
S565	3
S566	2
S567	3
S568	4
S569	3
S570	3
S571	3
S572	3
S573	3
S574	3
S575	2
S576	2
S577	2
S578	2
S579	3
S580	2
S581	2
S582	2
S583	4
S584	2
S585	3
S586	3
S587	2
S588	3
S589	2
S590	2
S591	2
S592	3
S593	2
S594	2
S595	3
S596	0
S597	0
S598	0
S599	0
S600	0
S601	0
S602	0
S603	0
S604	0
S605	0
S606	0
S607	0
S608	0
S609	0
S610	0
S611	1
S612	0
S613	0
S614	0
S615	0
S616	0
S617	0
S618	0
S619	0
S620	0
S621	0
S622	0
S623	0
S624	0
S625	0
S626	0
S627	0
S628	0
S629	0
S630	1
S631	0
S632	0
S633	0
S634	0
S635	1
S636	0
S637	1
S638	1
S639	1
S640	0
S641	0
S642	1
S643	1
S644	1
S645	1
S646	1
S647	0
S648	0
S649	1
S650	0
S651	1
S652	1
S653	1
S654	0
S655	0
S656	0
S657	0
S658	0
S659	0
S660	0
S661	0
S662	0
S663	0
S664	0
S665	0
S666	0
S667	0
S668	0
S669	0
S670	0
S671	0
S672	0
S673	0
S674	0
S675	0
S676	0
S677	1
S678	0
S679	0
S680	0
S681	0
S682	1
S683	1
S684	0
S685	0
S686	1
S687	0
S688	0
S689	0
S690	0
S691	0
S692	0
S693	0
S694	0
S695	0
S696	0
S697	0
S698	0
S699	0
S700	0
S701	0
S702	0
S703	0
S704	0
S705	0
S706	0
S707	0
S708	1
S709	0
S710	1
S711	1
S712	0
S713	0
S714	0
S715	0
S716	3
S717	0
S718	1
S719	1
S720	0
S721	0
S722	1
S723	0
S724	4
S725	4
S726	0
S727	3
S728	1
S729	0
S730	0
S731	1
S732	4
S733	3
S734	4
S735	3
S736	4
S737	0
S738	3
S739	3
S740	4
S741	4
S742	4
S743	4
S744	4
S745	4
S746	4
S747	4
S748	4
S749	4
S750	4
S751	4
S752	4
S753	4
S754	4
S755	4
S756	4
S757	4
S758	4
S759	3
S760	3
S761	0
S762	0
S763	0
S764	0
S765	1
S766	1
S767	0
S768	0
S769	0
S770	0
S771	1
S772	1
S773	0
S774	1
S775	0
S776	0
S777	4
S778	4
S779	4
S780	4
S781	4
S782	4
S783	4
S784	4
S785	4
S786	3
S787	3
S788	2
S789	2
S790	2
S791	1
S792	1
S793	1
S794	0
S795	0
S796	0
S797	1
S798	0
S799	0
S800	1
S801	0
S802	0
S803	0
S804	1
S805	1
S806	2
S807	2
S808	2
S809	2
S810	4
S811	4
S812	4
S813	4
S814	4
S815	4
S816	4
S817	4
S818	4
S819	4
S820	4
S821	4
S822	4
S823	4
S824	4
S825	4
S826	4
S827	4
S828	4
S829	4
S830	4
S831	4
S832	4
S833	4
S834	4
S835	4
S836	4
S837	4
S838	1
S839	1
S840	1
S841	1
S842	1
S843	1
S844	1
S845	1
S846	1
S847	1
S848	1
S849	1
S850	1
S851	1
S852	1
S853	1
S854	1
S855	1
