,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6911,0.9362,0.659,0.7066,0.6799,0.65,0.6545,0.248
lightgbm,Light Gradient Boosting Machine,0.6828,0.9386,0.6506,0.7026,0.6731,0.6404,0.6446,0.049
lr,Logistic Regression,0.6868,0.9412,0.6499,0.6977,0.6723,0.6441,0.6494,0.037
gbc,Gradient Boosting Classifier,0.6806,0.9332,0.6431,0.6909,0.667,0.6379,0.6425,0.258
ridge,Ridge Classifier,0.6678,0.0,0.6363,0.6765,0.6559,0.6232,0.6281,0.003
et,Extra Trees Classifier,0.6574,0.9027,0.6261,0.6672,0.6447,0.6114,0.616,0.048
rf,Random Forest Classifier,0.6594,0.9236,0.6266,0.6652,0.6428,0.613,0.6184,0.054
dt,Decision Tree Classifier,0.6488,0.8376,0.6226,0.6642,0.6389,0.603,0.6071,0.005
svm,SVM - Linear Kernel,0.6066,0.0,0.5849,0.6331,0.5907,0.5543,0.5622,0.008
ada,Ada Boost Classifier,0.3171,0.7476,0.2809,0.1981,0.223,0.2193,0.2417,0.021
