,feature,Logistic Regression,Light Gradient Boosting Machine,Gradient Boosting Classifier,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.637420090866981,0.5041666666666667,0.45481046052716323,0.5321324060202702
66,67,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
67,68,0.6050752574570792,0.35694444444444445,0.7018663101275494,0.5546286706763577
68,69,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
69,70,0.6108475999445845,0.4791666666666667,0.5079335512302249,0.5326492726138253
70,71,0.4703477919019135,0.2902777777777778,0.4107068481539522,0.3904441392778812
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
75,76,0.39658585738445007,0.2569444444444444,0.40112215247593414,0.35155081810160954
76,77,0.4453035307038568,0.20416666666666666,0.5508858855407228,0.40011869430374875
77,78,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
78,79,0.13674125271253393,0.013888888888888888,0.03087827979434762,0.060502807131923485
79,80,0.0,0.0,0.0,0.0
80,81,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
81,82,0.3041803509975211,0.18333333333333332,0.39167286568084464,0.29306218333723305
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
95,96,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
96,97,0.33892909319370407,0.08611111111111111,0.5543230520866888,0.32645441879716797
97,98,0.631168176805489,0.46111111111111114,0.35391206532699093,0.48206378441453035
98,99,0.49011070458216627,0.3888888888888889,0.3504409032904105,0.4098134989204885
99,100,0.33892909319370407,0.08611111111111111,0.5543230520866888,0.32645441879716797
100,101,0.439941037206387,0.23055555555555557,0.39644264897606685,0.3556464139126698
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.310167753236846,0.19722222222222222,0.23518289349446517,0.2475242896511778
111,112,0.6358231088951116,0.46944444444444444,0.5651062928549759,0.556791282064844
112,113,0.750043984962211,0.4986111111111111,0.2894593954270685,0.5127048305001302
113,114,0.47329103714317233,0.23333333333333334,0.4459267853809597,0.38418371861915507
114,115,0.3391397806780004,0.10972222222222222,0.4609128010575193,0.303258267985914
115,116,0.18253627530439245,0.09861111111111111,0.20295673694844035,0.16136804112131464
116,117,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
117,118,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
118,119,0.3697712157783235,0.20972222222222223,0.20111433065393733,0.2602025895514944
119,120,0.48036721117718784,0.3763888888888889,0.03013636361460186,0.2956308212268928
120,121,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
121,122,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
122,123,1.0,1.0,0.8171050300648703,0.9390350100216235
123,124,0.4954041802813691,0.3888888888888889,0.07168949509717772,0.3186608547558119
124,125,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
125,126,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
126,127,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
127,128,0.49975827756100405,0.4152777777777778,0.23722303645679024,0.3840863639318574
128,129,0.0,0.0,0.0,0.0
129,130,0.4897859243886504,0.25833333333333336,0.08743079176492746,0.27851668316230377
130,131,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
134,135,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
135,136,0.6948070549754535,0.5222222222222223,0.2264456944203722,0.48115832387268265
136,137,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
137,138,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
138,139,0.646496530183939,0.49722222222222223,0.5112854197387934,0.5516680573816516
139,140,0.6492453967544886,0.6013888888888889,0.413929203957063,0.5548544965334802
140,141,0.5998719865228804,0.38333333333333336,0.5737066822178375,0.5189706673580171
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
144,145,0.0,0.0,0.0,0.0
